year,region,technology,value
2020,UK,P_Hydro_Reservoir,0
2030,UK,P_Hydro_Reservoir,0
2040,UK,P_Hydro_Reservoir,0
2050,UK,P_Hydro_Reservoir,0
2020,UK,P_Hydro_RoR,1.9191
2030,UK,P_Hydro_RoR,1.9191
2040,UK,P_Hydro_RoR,1.9191
2050,UK,P_Hydro_RoR,1.9191
2020,NO,P_Hydro_Reservoir,26.661
2030,NO,P_Hydro_Reservoir,26.661
2040,NO,P_Hydro_Reservoir,26.661
2050,NO,P_Hydro_Reservoir,26.661
2020,NO,P_Hydro_RoR,8.473811519
2030,NO,P_Hydro_RoR,8.473811519
2040,NO,P_Hydro_RoR,8.473811519
2050,NO,P_Hydro_RoR,8.473811519
2020,NO,P_Wind_Offshore_Deep,3
2030,NO,P_Wind_Offshore_Deep,30
2040,NO,P_Wind_Offshore_Deep,90
2050,NO,P_Wind_Offshore_Deep,158.86
2020,FR,P_Hydro_Reservoir,8.7871
2030,FR,P_Hydro_Reservoir,8.7871
2040,FR,P_Hydro_Reservoir,8.7871
2050,FR,P_Hydro_Reservoir,8.7871
2020,FR,P_Hydro_RoR,11.5981
2030,FR,P_Hydro_RoR,11.5981
2040,FR,P_Hydro_RoR,11.5981
2050,FR,P_Hydro_RoR,11.5981
2020,DK,P_Hydro_Reservoir,0
2030,DK,P_Hydro_Reservoir,0
2040,DK,P_Hydro_Reservoir,0
2050,DK,P_Hydro_Reservoir,0
2020,DK,P_Hydro_RoR,0.006
2030,DK,P_Hydro_RoR,0.006
2040,DK,P_Hydro_RoR,0.006
2050,DK,P_Hydro_RoR,0.006
2020,DE,P_Hydro_Reservoir,1.44
2030,DE,P_Hydro_Reservoir,1.44
2040,DE,P_Hydro_Reservoir,1.44
2050,DE,P_Hydro_Reservoir,1.44
2020,DE,P_Hydro_RoR,3.86
2030,DE,P_Hydro_RoR,3.86
2040,DE,P_Hydro_RoR,3.86
2050,DE,P_Hydro_RoR,3.86
2020,UK,P_PV_Utility_Avg,199
2030,UK,P_PV_Utility_Avg,199
2040,UK,P_PV_Utility_Avg,199
2050,UK,P_PV_Utility_Avg,199
2020,UK,P_Wind_Offshore_Deep,10
2030,UK,P_Wind_Offshore_Deep,129
2040,UK,P_Wind_Offshore_Deep,129
2050,UK,P_Wind_Offshore_Deep,129
2020,UK,P_Wind_Onshore_Avg,276
2030,UK,P_Wind_Onshore_Avg,276
2040,UK,P_Wind_Onshore_Avg,276
2050,UK,P_Wind_Onshore_Avg,276
2020,NO,P_PV_Utility_Avg,16
2030,NO,P_PV_Utility_Avg,16
2040,NO,P_PV_Utility_Avg,16
2050,NO,P_PV_Utility_Avg,16
2020,NO,P_Wind_Onshore_Avg,42
2030,NO,P_Wind_Onshore_Avg,42
2040,NO,P_Wind_Onshore_Avg,42
2050,NO,P_Wind_Onshore_Avg,42
2020,FR,P_PV_Utility_Avg,297
2030,FR,P_PV_Utility_Avg,297
2040,FR,P_PV_Utility_Avg,297
2050,FR,P_PV_Utility_Avg,297
2020,FR,P_Wind_Offshore_Deep,10
2030,FR,P_Wind_Offshore_Deep,174
2040,FR,P_Wind_Offshore_Deep,174
2050,FR,P_Wind_Offshore_Deep,174
2020,FR,P_Wind_Onshore_Avg,496
2030,FR,P_Wind_Onshore_Avg,496
2040,FR,P_Wind_Onshore_Avg,496
2050,FR,P_Wind_Onshore_Avg,496
2020,DK,P_PV_Utility_Avg,23
2030,DK,P_PV_Utility_Avg,23
2040,DK,P_PV_Utility_Avg,23
2050,DK,P_PV_Utility_Avg,23
2020,DK,P_Wind_Offshore_Deep,10
2030,DK,P_Wind_Offshore_Deep,194
2040,DK,P_Wind_Offshore_Deep,194
2050,DK,P_Wind_Offshore_Deep,194
2020,DK,P_Wind_Onshore_Avg,42
2030,DK,P_Wind_Onshore_Avg,42
2040,DK,P_Wind_Onshore_Avg,42
2050,DK,P_Wind_Onshore_Avg,42
2020,DE,P_PV_Utility_Avg,258
2030,DE,P_PV_Utility_Avg,258
2040,DE,P_PV_Utility_Avg,258
2050,DE,P_PV_Utility_Avg,258
2020,DE,P_Wind_Offshore_Deep,10
2030,DE,P_Wind_Offshore_Deep,109
2040,DE,P_Wind_Offshore_Deep,109
2050,DE,P_Wind_Offshore_Deep,109
2020,DE,P_Wind_Onshore_Avg,289
2030,DE,P_Wind_Onshore_Avg,289
2040,DE,P_Wind_Onshore_Avg,289
2050,DE,P_Wind_Onshore_Avg,289
2020,DE,HB_Solar_Thermal,116
2020,DK,HB_Solar_Thermal,13
2020,FR,HB_Solar_Thermal,146
2020,NO,HB_Solar_Thermal,7
2020,UK,HB_Solar_Thermal,104
2030,DE,HB_Solar_Thermal,116
2030,DK,HB_Solar_Thermal,13
2030,FR,HB_Solar_Thermal,146
2030,NO,HB_Solar_Thermal,7
2030,UK,HB_Solar_Thermal,104
2040,DE,HB_Solar_Thermal,116
2040,DK,HB_Solar_Thermal,13
2040,FR,HB_Solar_Thermal,146
2040,NO,HB_Solar_Thermal,7
2040,UK,HB_Solar_Thermal,104
2050,DE,HB_Solar_Thermal,116
2050,DK,HB_Solar_Thermal,13
2050,FR,HB_Solar_Thermal,146
2050,NO,HB_Solar_Thermal,7
2050,UK,HB_Solar_Thermal,104
2020,UK,R_Biomass,14
2030,UK,R_Biomass,14
2040,UK,R_Biomass,14
2050,UK,R_Biomass,14
2020,NO,R_Biomass,12
2030,NO,R_Biomass,12
2040,NO,R_Biomass,12
2050,NO,R_Biomass,12
2020,FR,R_Biomass,22
2030,FR,R_Biomass,22
2040,FR,R_Biomass,22
2050,FR,R_Biomass,22
2020,DK,R_Biomass,2.5
2030,DK,R_Biomass,2.5
2040,DK,R_Biomass,2.5
2050,DK,R_Biomass,2.5
2020,DE,R_Biomass,25
2030,DE,R_Biomass,25
2040,DE,R_Biomass,25
2050,DE,R_Biomass,25
2020,ES,HB_Solar_Thermal,40
2030,ES,HB_Solar_Thermal,40
2040,ES,HB_Solar_Thermal,40
2050,ES,HB_Solar_Thermal,40
2020,ES,P_Hydro_Reservoir,19.13
2030,ES,P_Hydro_Reservoir,19.13
2040,ES,P_Hydro_Reservoir,19.13
2050,ES,P_Hydro_Reservoir,19.13
2020,ES,P_Hydro_RoR,1.16
2030,ES,P_Hydro_RoR,1.16
2040,ES,P_Hydro_RoR,1.16
2050,ES,P_Hydro_RoR,1.16
2020,ES,P_PV_Utility_Avg,105.3
2030,ES,P_PV_Utility_Avg,105.3
2040,ES,P_PV_Utility_Avg,105.3
2050,ES,P_PV_Utility_Avg,105.3
2020,ES,P_Wind_Offshore_Deep,23.83
2030,ES,P_Wind_Offshore_Deep,23.83
2040,ES,P_Wind_Offshore_Deep,23.83
2050,ES,P_Wind_Offshore_Deep,23.83
2020,ES,P_Wind_Onshore_Avg,158.99
2030,ES,P_Wind_Onshore_Avg,158.99
2040,ES,P_Wind_Onshore_Avg,158.99
2050,ES,P_Wind_Onshore_Avg,158.99
2020,ES,R_Biomass,20
2030,ES,R_Biomass,20
2040,ES,R_Biomass,20
2050,ES,R_Biomass,20