year,region,region,fuel,value
2020,DE,DK,Gas,5
2030,DE,DK,Gas,5
2040,DE,DK,Gas,5
2050,DE,DK,Gas,5
2020,DE,FR,Gas,27
2030,DE,FR,Gas,27
2040,DE,FR,Gas,27
2050,DE,FR,Gas,27
2020,DK,DE,Gas,5
2030,DK,DE,Gas,5
2040,DK,DE,Gas,5
2050,DK,DE,Gas,5
2020,FR,DE,Gas,27
2030,FR,DE,Gas,27
2040,FR,DE,Gas,27
2050,FR,DE,Gas,27
2020,NO,DE,Gas,75
2030,NO,DE,Gas,75
2040,NO,DE,Gas,75
2050,NO,DE,Gas,75
2020,NO,FR,Gas,26
2030,NO,FR,Gas,26
2040,NO,FR,Gas,26
2050,NO,FR,Gas,26
2020,NO,UK,Gas,82
2030,NO,UK,Gas,82
2040,NO,UK,Gas,82
2050,NO,UK,Gas,82
2020,DE,DK,Power,3.7
2030,DE,DK,Power,4.7
2040,DE,DK,Power,6.1
2050,DE,DK,Power,7.7
2020,DE,FR,Power,3
2030,DE,FR,Power,3.8
2040,DE,FR,Power,4.9
2050,DE,FR,Power,6.3
2020,DE,NO,Power,1.4
2030,DE,NO,Power,1.8
2040,DE,NO,Power,2.3
2050,DE,NO,Power,2.9
2020,DE,UK,Power,0
2030,DE,UK,Power,0
2040,DE,UK,Power,0
2050,DE,UK,Power,0
2020,DK,DE,Power,3.7
2030,DK,DE,Power,4.7
2040,DK,DE,Power,6.1
2050,DK,DE,Power,7.7
2020,DK,NO,Power,1.6
2030,DK,NO,Power,2.1
2040,DK,NO,Power,2.7
2050,DK,NO,Power,3.4
2020,DK,UK,Power,0
2030,DK,UK,Power,0
2040,DK,UK,Power,0
2050,DK,UK,Power,0
2020,FR,DE,Power,3
2030,FR,DE,Power,3.8
2040,FR,DE,Power,4.9
2050,FR,DE,Power,6.3
2020,FR,UK,Power,3
2030,FR,UK,Power,3.8
2040,FR,UK,Power,4.9
2050,FR,UK,Power,6.3
2020,NO,DE,Power,1.4
2030,NO,DE,Power,1.8
2040,NO,DE,Power,2.3
2050,NO,DE,Power,2.9
2020,NO,DK,Power,1.6
2030,NO,DK,Power,2.1
2040,NO,DK,Power,2.7
2050,NO,DK,Power,3.4
2020,NO,UK,Power,1.4
2030,NO,UK,Power,1.8
2040,NO,UK,Power,2.3
2050,NO,UK,Power,2.9
2020,UK,DE,Power,0
2030,UK,DE,Power,0
2040,UK,DE,Power,0
2050,UK,DE,Power,0
2020,UK,DK,Power,0
2030,UK,DK,Power,0
2040,UK,DK,Power,0
2050,UK,DK,Power,0
2020,UK,FR,Power,3
2030,UK,FR,Power,3.8
2040,UK,FR,Power,4.9
2050,UK,FR,Power,6.3
2020,UK,NO,Power,1.4
2030,UK,NO,Power,1.8
2040,UK,NO,Power,2.3
2050,UK,NO,Power,2.9
2030,DE,FR,H2,7.5
2030,DE,DK,H2,7.5
2030,FR,DE,H2,7.5
2030,FR,UK,H2,7.5
2030,UK,FR,H2,7.5
2030,UK,NO,H2,7.5
2030,NO,UK,H2,7.5
2030,NO,DK,H2,7.5
2030,DK,NO,H2,7.5
2030,DK,DE,H2,7.5
2040,DE,FR,H2,12
2040,DE,DK,H2,12
2040,FR,DE,H2,12
2040,FR,UK,H2,12
2040,UK,FR,H2,12
2040,UK,NO,H2,12
2040,NO,UK,H2,12
2040,NO,DK,H2,12
2040,DK,NO,H2,12
2040,DK,DE,H2,12
2050,DE,FR,H2,30
2050,DE,DK,H2,30
2050,FR,DE,H2,30
2050,FR,UK,H2,30
2050,UK,FR,H2,30
2050,UK,NO,H2,30
2050,NO,UK,H2,30
2050,NO,DK,H2,30
2050,DK,NO,H2,30
2050,DK,DE,H2,30
2020,DE,NO,Gas,75
2030,DE,NO,Gas,75
2040,DE,NO,Gas,75
2050,DE,NO,Gas,75
2020,FR,NO,Gas,26
2030,FR,NO,Gas,26
2040,FR,NO,Gas,26
2050,FR,NO,Gas,26
2020,UK,NO,Gas,82
2030,UK,NO,Gas,82
2040,UK,NO,Gas,82
2050,UK,NO,Gas,82
2020,ES,FR,Power,2.8
2020,FR,ES,Power,2.8
2020,ES,FR,Gas,9.3
2020,FR,ES,Gas,9.3
2020,ES,FR,H2,0.0
2020,FR,ES,H2,0.0
2030,ES,FR,Power,5.0
2030,FR,ES,Power,5.0
2030,ES,FR,Gas,7.0
2030,FR,ES,Gas,7.0
2030,ES,FR,H2,7.5
2030,FR,ES,H2,7.5
2040,ES,FR,Power,9.5
2040,FR,ES,Power,9.5
2040,ES,FR,Gas,9.3
2040,FR,ES,Gas,9.3
2040,ES,FR,H2,12.0
2040,FR,ES,H2,12.0
2050,ES,FR,Power,9.5
2050,FR,ES,Power,9.5
2050,ES,FR,Gas,9.3
2050,FR,ES,Gas,9.3
2050,ES,FR,H2,30.0
2050,FR,ES,H2,30.0